q,e,i,om,w,ma,a
1.206369,0.2242,19.48,258.98,350.41,18.13,1.555
0.8389406999999999,0.6529,33.86,308.96,254.5,284.24,2.417
1.0103099999999998,0.5755,5.88,26.94,174.6,333.83,2.38
1.2911975999999998,0.2146,40.62,85.42,58.22,208.55,1.644
0.9761955000000001,0.6415,13.84,133.62,166.82,140.97,2.723
0.7811518000000001,0.6282,10.88,206.69,147.77,315.17,2.101
0.8878491000000001,0.5383,22.77,239.07,43.35,20.2,1.923
0.7276731000000001,0.6403,26.79,199.2,64.05,144.43,2.023
1.2520535000000002,0.4035,60.41,241.92,156.96,320.55,2.099
1.1940936999999998,0.4833,15.35,51.35,354.48,297.11,2.311
0.8675485000000002,0.4197,7.18,313.2,324.91,211.63,1.495
1.0017897,0.2693,40.79,190.02,218.33,351.22,1.371
1.0666554,0.1974,23.44,36.34,128.3,135.59,1.329
1.2620336,0.2624,18.95,240.84,67.1,120.78,1.711
0.7745194000000001,0.2301,1.6,278.2,278.98,68.6,1.006
1.0624061000000002,0.2807,46.69,223.71,158.04,267.64,1.477
1.1694437,0.3419,33.21,161.7,265.9,240.89,1.777
1.212231,0.2563,35.36,33.51,99.59,325.54,1.63
1.2657552,0.2873,24.46,130.07,20.0,258.93,1.776
0.8530500000000001,0.2245,30.39,193.83,353.55,224.64,1.1
0.5457348000000001,0.6958,38.55,81.41,132.39,330.22,1.794
1.0914175999999998,0.3441,10.95,0.87,313.29,121.08,1.664
0.6728174600000001,0.2646,1.3,178.09,15.03,105.34,0.9149
0.9092076,0.3633,11.14,180.12,63.31,341.27,1.428
1.0647474,0.5558,9.64,349.19,8.72,130.93,2.397
1.003005,0.281,2.81,174.76,290.96,225.43,1.395
0.6067732,0.4742,4.15,336.92,168.69,278.11,1.154
1.0132381000000001,0.3833,3.41,72.99,319.58,152.7,1.643
0.5020782,0.5398,3.56,108.6,284.5,211.01,1.091
1.1621709,0.6043,9.55,265.24,57.25,5.27,2.937
0.9086472,0.3628,61.01,168.93,14.02,38.74,1.426
0.27748,0.72,22.69,351.85,151.16,27.01,0.991
0.40655912,0.4838,5.41,101.99,84.89,26.61,0.7876
1.231872,0.198,11.28,196.2,142.5,178.03,1.536
0.21624140000000003,0.8379,19.5,157.36,261.1,347.56,1.334
1.2919036,0.1433,51.31,66.38,68.46,130.32,1.508
0.20017184,0.6884,38.88,244.9,192.65,251.17,0.6424
0.3656835,0.5725,9.06,79.8,341.4,108.96,0.8554
1.0541202,0.1201,21.77,94.99,320.51,27.18,1.198
1.1026877000000002,0.5657,20.62,81.89,293.5,334.63,2.539
1.0305757,0.2127,9.02,264.51,184.81,345.58,1.309
0.6035649,0.5431,10.67,294.89,266.89,138.28,1.321
0.8504636999999999,0.3463,14.69,332.86,225.33,300.67,1.301
1.1991839999999998,0.1285,15.17,123.63,31.95,331.69,1.376
1.2654948000000001,0.4578,5.72,308.84,50.36,197.66,2.334
0.888888,0.3266,17.99,18.14,48.72,41.83,1.32
0.864777,0.4273,38.83,8.01,317.44,310.68,1.51
1.2718652,0.1143,2.62,99.07,234.51,238.94,1.436
0.8791837999999998,0.4166,16.7,219.37,140.29,280.76,1.507
0.5964057899999999,0.3801,17.12,245.86,243.78,294.35,0.9621
0.34264500000000003,0.841,25.36,236.22,181.65,288.18,2.155
1.2568419999999998,0.2474,29.57,128.85,328.5,305.88,1.67
1.2525868999999998,0.1743,9.86,99.2,29.26,121.89,1.517
0.9445884,0.4162,8.11,252.96,322.33,326.4,1.618
0.9615531,0.4367,22.71,302.03,24.73,9.72,1.707
0.6931805999999999,0.3442,25.15,236.21,255.58,51.78,1.057
0.6227765,0.6237,6.07,34.06,92.9,94.2,1.655
0.4937283000000001,0.7777,3.12,339.42,243.2,300.11,2.221
1.1203596,0.1846,33.88,226.38,322.77,55.69,1.374
0.8501026,0.3111,12.81,54.36,293.84,324.92,1.234
1.0547998,0.4422,17.71,141.14,202.88,56.26,1.891
1.2771622,0.6606,2.58,247.57,94.23,221.74,3.763
0.8356524,0.3562,4.08,2.31,95.42,130.79,1.298
1.0649205,0.3315,13.03,66.74,50.56,305.8,1.593
0.812436,0.4858,4.51,299.58,117.28,176.84,1.58
1.0899812,0.3378,24.84,186.58,29.73,75.39,1.646
0.6953336000000001,0.6386,10.78,40.96,103.14,91.75,1.924
0.65345922,0.3451,33.18,18.33,234.24,81.47,0.9978
0.9415533,0.3289,13.59,64.62,50.14,301.4,1.403
1.1114218,0.3542,27.66,285.68,269.85,256.68,1.721
0.9670252,0.4164,62.72,235.64,301.24,121.61,1.657
1.2434772,0.2482,9.32,28.52,199.53,86.44,1.654
1.27734,0.302,0.95,254.12,287.88,304.57,1.83
0.9554068000000001,0.4844,9.14,19.88,197.76,245.62,1.853
0.21934972000000005,0.7031,12.61,180.45,172.42,97.36,0.7388
0.32427431999999995,0.6328,17.06,130.16,309.24,223.35,0.8831
0.6943104000000001,0.3112,5.36,124.31,235.57,282.83,1.008
0.7413120000000001,0.5788,7.13,311.65,120.77,48.53,1.76
1.2292005,0.3235,30.55,136.04,301.86,232.01,1.817
1.1123385000000001,0.4345,34.6,293.65,75.33,277.82,1.967
1.1758184999999999,0.3627,34.31,78.44,312.58,192.65,1.845
0.56653212,0.4148,18.11,124.85,215.61,22.09,0.9681
0.8384453,0.4269,29.01,186.91,258.86,138.45,1.463
0.34831482,0.5947,14.29,208.31,172.49,319.38,0.8594
0.9864232,0.5058,10.06,164.88,150.32,72.56,1.996
0.6219213000000001,0.5749,14.37,78.46,31.42,130.52,1.463
0.511973,0.6185,9.47,230.99,214.91,60.52,1.342
0.9698094,0.1898,14.43,230.51,84.92,216.44,1.197
0.6332289999999999,0.4835,25.32,120.49,359.62,116.04,1.226
0.45502275,0.4631,34.74,294.27,188.17,83.91,0.8475
0.775761,0.5121,7.7,191.42,343.52,296.04,1.59
0.30660606,0.6429,19.22,162.02,47.79,47.5,0.8586
1.222872,0.391,11.34,340.13,195.37,304.26,2.008
0.38613872000000005,0.5952,17.81,114.26,194.99,251.15,0.9539
0.43781279999999995,0.6296,1.52,272.12,140.21,219.93,1.182
1.1896896000000001,0.4324,38.79,232.82,241.59,189.92,2.096
1.1773188,0.4519,12.07,104.94,201.48,13.59,2.148
0.7751538,0.2701,21.9,202.83,329.36,242.8,1.062
0.7515726000000001,0.5638,53.84,38.96,114.94,203.85,1.723
1.0132032,0.2528,1.91,175.91,67.14,82.94,1.356
1.2357105,0.3085,22.66,103.04,85.07,359.67,1.787
1.0240384,0.5072,43.66,19.9,5.82,121.68,2.078
0.18636700000000006,0.8865,9.91,188.17,222.91,358.71,1.642
0.8182260000000001,0.5284,42.35,132.02,300.68,34.19,1.735
0.9052428,0.5758,8.91,226.74,30.66,2.14,2.134
0.9852216,0.3316,27.99,282.69,105.06,220.44,1.474
0.6630815999999999,0.4264,16.88,86.82,313.85,14.77,1.156
1.2942784999999999,0.2045,9.87,189.41,218.73,206.67,1.627
0.8883565999999999,0.2801,19.01,286.24,306.8,53.68,1.234
0.8605515000000001,0.4923,7.83,326.77,233.29,298.42,1.695
1.26035,0.3075,13.99,287.23,293.05,74.46,1.82
0.5148624,0.6432,6.65,293.05,356.28,343.32,1.443
0.5108138,0.7781,41.4,199.55,22.51,103.99,2.302
0.5891363100000001,0.3511,13.6,75.69,202.71,62.13,0.9079
1.2586192,0.2592,1.77,19.68,303.78,272.58,1.699
0.4606692999999999,0.7799,34.93,196.12,35.69,56.57,2.093
1.2434688,0.3088,18.19,311.74,212.29,243.95,1.799
0.8057856,0.2192,4.81,75.46,179.45,108.83,1.032
0.9194975000000001,0.5075,10.61,284.12,61.56,205.2,1.867
1.0589266,0.2757,7.56,122.35,249.92,284.27,1.462
0.29514768,0.5948,28.8,225.59,2.86,327.4,0.7284
0.5873354,0.6449,12.77,16.34,323.0,165.7,1.654
0.74609522,0.1914,3.34,203.96,126.6,142.86,0.9227
0.7710816,0.7024,15.7,76.29,13.71,158.82,2.591
1.008855,0.6193,2.64,305.19,42.22,66.91,2.65
1.009284,0.5544,11.57,176.51,312.06,177.47,2.265
1.0562492,0.4076,24.25,221.09,138.8,163.95,1.783
0.6318984000000001,0.6109,4.77,110.93,268.82,222.24,1.624
1.2309942999999999,0.3933,45.79,128.79,295.21,43.28,2.029
0.8966337999999999,0.2037,6.03,2.06,66.22,101.7,1.126
1.1377422,0.4666,7.46,72.59,220.42,307.13,2.133
0.7718984,0.5814,38.54,116.6,104.02,131.87,1.844
0.16740833000000005,0.8169,32.54,237.29,281.67,304.88,0.9143
1.1522889,0.1891,14.82,123.71,115.93,290.23,1.421
0.56749,0.7655,10.33,163.38,41.76,327.73,2.42
0.8208449999999998,0.6175,14.37,163.36,11.84,27.71,2.146
1.169316,0.271,16.39,267.26,343.8,1.33,1.604
0.7897825,0.3605,20.93,172.06,344.02,176.29,1.235
0.9832924,0.4394,42.02,310.16,6.96,252.48,1.754
1.260531,0.4447,58.74,230.09,356.31,105.81,2.27
1.1264280000000002,0.4926,46.99,211.96,105.32,152.51,2.22
1.1377573,0.3183,31.32,190.51,88.21,155.75,1.669
1.1296764,0.3946,2.99,224.45,172.65,1.44,1.866
1.250744,0.068,10.5,140.17,107.28,9.97,1.342
0.9552815999999998,0.4168,4.68,268.52,24.89,275.6,1.638
0.951665,0.395,1.44,99.34,248.28,140.29,1.573
1.2974104,0.1752,7.64,231.69,311.16,90.0,1.573
1.2208560000000002,0.484,17.78,247.9,131.62,244.35,2.366
1.0085076,0.4516,25.1,326.22,45.94,289.05,1.839
1.2995415,0.1801,22.1,196.29,117.59,236.79,1.585
0.6133008999999999,0.4653,17.37,296.25,37.05,351.55,1.147
0.9108858,0.4786,10.99,50.14,147.51,170.19,1.747
0.6128437499999999,0.3463,12.78,259.92,203.82,120.7,0.9375
