a (km),e,i (rad),Omega (rad),omega (rad),M (rad)
266116861.47771174,0.48059061936989744,0.296439098927651,1.0969538770125355,0.6389372072185031,1.5362409356891407
232476411.7880971,0.3619275891550921,0.23093523502109348,-2.978188862647561,3.3095031514074753,0.18570377424438256
214233478.32075232,0.2956363424424033,0.4042101728970957,-0.006967677343543634,6.065007837743882,4.289059834964693
203299988.86436686,0.29523900605925174,0.22999937492252256,-0.7184412857663315,5.539434710791483,2.4723572355173964
191427371.378708,0.21223447545520208,0.7441353623425659,1.800786793295821,2.993872661098024,1.0065005935514755
130881105.08688325,0.7520796893590946,0.6112382733169153,-1.4646467694044842,3.7404756185897634,5.731997983120741
207093284.24442112,0.3226295216550932,0.2127143223929587,-1.8319711662638878,5.5088072540509,4.999494461712867
456454496.0918705,0.6919833892624364,0.39891865343611566,-1.974070373605401,0.5766391849597081,5.673097481490804
169476061.7112072,0.14384612676372163,0.11493047341232643,0.9753700873426386,2.3244415312001365,1.275759039946986
243597819.9091525,0.39685005207676227,0.3605590908940699,0.5059580191341463,2.752119613656159,0.22828709136806946
374510979.420148,0.6168381892810157,0.07937562551584433,0.3756672974645086,3.618171473867917,2.4367806290245753
248048293.98113602,0.4102134828474355,0.1342925617394772,3.08812268176757,0.26586618869984413,3.948005712289169
145990816.22849834,0.0958740643951597,0.01756374203542968,2.861191840529184,4.409654253281211,3.660769011151972
175448770.11389074,0.2424257938769403,0.4145812252511633,-0.45715727221149566,4.188224528938723,3.152643946615041
103522115.76766923,0.5090695905723341,0.04226528814994755,-0.5222477131426392,0.2896958702543415,5.741709760359345
91955661.72730376,0.595634135138696,0.06763495199889827,-0.7490809698432042,0.04802108742833955,5.619501316619519
140766290.70645273,0.11944840198303971,0.043808369211401896,-0.9270510500241896,1.0949441420928956,5.145027673327213
301256506.59453326,0.5760212148531983,0.11589054870857027,2.1606264903790344,0.8866699336678225,0.25158067148898944
129650356.55290231,0.20084963295171793,0.005220623481805422,-1.5923479193256602,0.7223997375074083,1.4165700775840504
183144806.71769288,0.1996179003957872,0.15857250148385219,0.34522144200947646,5.795075830325098,3.873797035795801
193246741.60957497,0.2293486601009729,0.0399509968329721,0.30865428931528516,6.202651411917316,0.049778215266157666
184282671.11924678,0.5504220781262519,0.009571075825806017,2.8604276249307885,1.2755051238652104,5.9551843815281185
85181746.46950068,0.7766955121526412,0.7134650181813439,2.7877377730065582,6.258816596840032,2.7261764219080895
420881877.0849812,0.6671164788292434,0.05774037159193116,-0.9947581143334842,0.7298277708013963,6.0661691686773525
167153732.4255056,0.832183958796335,2.061612928722051,1.772088794538554,0.6538684563998727,3.264142208122812
163259803.55277675,0.5598340588600259,0.9367280387016623,1.4411086402761777,1.0931074249399195,3.594763125004949
205631609.4318826,0.27418641525511706,0.040977285347031586,-2.278750811128388,0.312712980833151,0.0486871018300441
350723077.0973591,0.6190623888287452,0.04398191582277032,0.9564395852015575,3.742228725962467,4.947688658455618
229053919.1195616,0.3534695999482163,0.034421356506815284,0.6954468532594491,3.5876337172479125,0.9631309299072601
310213573.97610307,0.6440873671976565,0.1756775610452279,-2.565732323276148,1.196713568270674,3.334593815090801
323771234.17482966,0.6313095992138853,0.1434646552002454,0.3158016684502013,2.0685623452792683,1.8358374709730487
225390253.40407926,0.3801039152761393,0.01205177605161771,-2.9814568008571998,0.7161641976485988,0.007559612788155867
235325851.2087122,0.51482232340386,0.11241819721486764,-0.29344068143221347,1.9069999706521852,0.23554405607188045
304351467.5845144,0.5159594690857277,0.5054410918299626,-0.3860326070237274,3.098095475508728,5.496425124221884
211435664.22544155,0.4490794239224095,0.19041558592909694,1.8996745041358656,5.013547845870558,5.695766971547975
