"pdes","epoch_mjd","a","e","i","om","w","ma"
22099,60200,1.104,0.2762,9.85,136.44,186.57,340.49
22753,60200,1.219,0.5699,3.20,307.39,324.77,232.39
22771,60200,1.576,0.5239,11.40,338.95,305.81,57.67
23183,60200,1.824,0.4009,40.97,119.65,301.44,79.14
23187,60200,1.847,0.5892,51.33,164.31,293.52,10.46
23548,60200,2.289,0.5177,23.44,345.86,124.28,199.31
23606,60200,1.75,0.3611,14.36,296.61,357.61,180.03
23714,60200,2.128,0.5162,8.40,127.85,128.96,38.05
24443,60200,2.311,0.8224,25.75,178.11,231.18,195.22
24445,60200,2.21,0.5460,23.78,203.16,219.06,359.51
24475,60200,1.975,0.4413,14.63,76.40,32.68,71.81
24761,60200,1.335,0.3059,21.92,121.05,287.53,350.35
25143,60200,1.324,0.2803,1.62,69.08,162.83,243.81
25330,60200,1.541,0.3707,14.33,50.54,86.08,282.97
25916,60200,2.561,0.4983,15.75,94.64,199.77,89.79
26166,60200,3.302,0.6442,14.78,185.70,62.87,265.78
26310,60200,2.14,0.4684,5.38,210.84,98.93,17.93
26379,60200,1.606,0.5761,8.68,252.10,200.59,46.22
26663,60200,1.546,0.4717,13.53,303.61,231.22,263.72
26760,60200,2.852,0.5573,11.02,146.26,155.20,207.32
26817,60200,2.804,0.5940,3.50,153.19,156.57,253.00
27002,60200,1.744,0.4331,8.70,130.34,0.82,32.44
27031,60200,2.14,0.4249,5.36,191.84,111.87,16.63
27346,60200,1.875,0.3990,36.94,135.20,269.26,141.62
29075,60200,1.698,0.5082,12.17,356.65,224.67,45.28
30825,60200,2.436,0.6811,8.74,205.02,33.68,296.77
30997,60200,1.56,0.6434,36.26,38.62,151.17,3.85
31210,60200,2.605,0.5023,8.96,144.92,271.36,63.82
31221,60200,1.723,0.2571,20.22,331.03,186.81,110.59
31345,60200,2.016,0.3914,6.50,222.69,156.21,253.07
31346,60200,2.03,0.4297,5.96,299.73,350.50,252.06
31662,60200,1.598,0.5478,18.82,13.95,312.04,323.61
31669,60200,2.137,0.5776,9.54,78.77,39.08,331.22
32906,60200,2.248,0.4402,18.94,331.16,92.33,185.72
33342,60200,0.7188,0.4176,7.37,81.66,167.52,100.47
34613,60200,2.069,0.3873,6.17,315.28,286.13,7.93
35107,60200,1.137,0.1442,13.91,139.34,206.95,135.52
35396,60200,1.442,0.4837,4.10,213.65,103.06,44.44
35432,60200,2.501,0.5452,13.14,115.32,1.59,159.73
35670,60200,2.122,0.5964,7.14,271.34,169.83,2.96
36017,60200,1.523,0.3143,5.55,332.07,52.13,261.00
36183,60200,1.551,0.3324,38.22,54.65,311.20,164.46
36236,60200,1.332,0.4237,58.04,241.07,19.77,304.24
36284,60200,1.484,0.5538,46.76,323.16,317.96,270.41
37336,60200,2.253,0.4833,36.67,223.64,118.03,193.03
37638,60200,1.913,0.5197,5.08,145.57,323.19,87.60
37655,60200,1.478,0.7524,18.03,139.54,303.87,35.58
38071,60200,2.089,0.5077,12.74,195.49,8.81,31.52
38086,60200,1.42,0.5663,23.67,165.32,178.97,83.87
38091,60200,2.169,0.4013,9.33,64.82,225.07,183.15
38239,60200,2.037,0.5756,9.44,199.94,28.18,134.02
39565,60200,1.642,0.3342,8.60,0.96,344.79,268.62
39572,60200,2.037,0.4922,10.02,313.53,344.87,70.09
